index0,index1,index2,SHR_MED_ROW
GLD,A,A,0.16708144143782724
GLD,A,B,0.00284862596032335
GLD,A,C,0.41746060217038083
GLD,A,D,0.00032902332858604293
GLD,A,E,0.008276875012536858
GLD,A,F,0.006006764888772992
GLD,A,G,0.029822308587246497
GLD,A,H,0.020274612360339395
GLD,A,I,0.0010175546105550318
GLD,A,J,0.00038458367600746184
GLD,A,K,8.95613102521413e-5
GLD,A,L,0.011060342406675626
GLD,A,M,0.0009089553286662789
GLD,A,N,0.0004293292279301145
GLD,A,O,0.0013254899404248491
GLD,A,P,0.0015608779812649187
GLD,A,Q,0.003756955449020119
GLD,A,R,0.003963964054319699
GLD,A,S,0.002705979579965097
GLD,B,A,0.0010038216560509555
GLD,B,B,0.05786445706761392
GLD,B,C,0.1697856476604606
GLD,B,D,0.013863286685448312
GLD,B,E,0.015466692185203332
GLD,B,F,0.010677740078392945
GLD,B,G,0.0010302367099461049
GLD,B,H,0.002159620896619304
GLD,B,I,0.003666152621264087
GLD,B,J,0.0007895440347868691
GLD,B,K,0.0007656378613424792
GLD,B,L,0.0020366670749632537
GLD,B,M,0.003998809407153356
GLD,B,N,0.0016506513351298383
GLD,B,O,0.0017945425036746693
GLD,B,P,0.0008545526090151887
GLD,B,Q,0.001351424240568349
GLD,B,R,0.0002938302302792749
GLD,B,S,0.0006808176139147477
GLD,C,A,0.016528575091312756
GLD,C,B,0.0334179873952589
GLD,C,C,0.11702305464441737
GLD,C,D,0.0077393028718756715
GLD,C,E,0.1283084070758433
GLD,C,F,0.010725282962114158
GLD,C,G,0.008744889780133209
GLD,C,H,0.023474088376423414
GLD,C,I,0.03397867220511351
GLD,C,J,0.009011869369046766
GLD,C,K,0.0025996619637613694
GLD,C,L,0.0032571945856907543
GLD,C,M,0.008837245291126549
GLD,C,N,0.0030712905536059588
GLD,C,O,0.009749080426842369
GLD,C,P,0.009760657595072691
GLD,C,Q,0.020468070471961607
GLD,C,R,0.008152798252524528
GLD,C,S,0.017486574804841365
GLD,D,A,0.020136963943086394
GLD,D,B,0.04684919887368867
GLD,D,C,0.08566299867932521
GLD,D,D,0.2552956941018166
GLD,D,E,0.03478173315724336
GLD,D,F,0.013073184487470201
GLD,D,G,0.01790523618482802
GLD,D,H,0.020831636390820064
GLD,D,I,0.017546853222363424
GLD,D,J,0.019892610866080258
GLD,D,K,0.007320615816534183
GLD,D,L,0.032292090902294984
GLD,D,M,0.03531430398777337
GLD,D,N,0.01395089000191041
GLD,D,O,0.0356405181364365
GLD,D,P,0.010455843778292756
GLD,D,Q,0.02264472103859859
GLD,D,R,0.00533288978595101
GLD,D,S,0.004223024594453166
GLD,E,A,0.006709929806433407
GLD,E,B,0.026673907206719326
GLD,E,C,0.006720398462090701
GLD,E,D,0.009690656350308016
GLD,E,E,0.2996095648330854
GLD,E,F,0.007160061250785865
GLD,E,G,0.0032753471811566687
GLD,E,H,0.0035582222747861303
GLD,E,I,0.013807615057899835
GLD,E,J,0.0036856174772228827
GLD,E,K,0.0031615779961946494
GLD,E,L,0.03920212095370295
GLD,E,M,0.013133408029413656
GLD,E,N,0.002964901141812583
GLD,E,O,0.024722342635070223
GLD,E,P,0.0020905590379144854
GLD,E,Q,0.0031820082041194887
GLD,E,R,0.0007745014555361208
GLD,E,S,0.0019572813116631705
GLD,F,A,0.02523313469347119
GLD,F,B,0.031673662203195785
GLD,F,C,0.08003093590664402
GLD,F,D,0.007104798646025187
GLD,F,E,0.08222033522254539
GLD,F,F,0.02689581576271307
GLD,F,G,0.020654623354643267
GLD,F,H,0.018397287072527253
GLD,F,I,0.024957818422306446
GLD,F,J,0.01577718651998606
GLD,F,K,0.014205233852214788
GLD,F,L,0.007601262240174082
GLD,F,M,0.022085407792466382
GLD,F,N,0.009181404891091784
GLD,F,O,0.0137518869601701
GLD,F,P,0.015157949268611817
GLD,F,Q,0.03191032121345726
GLD,F,R,0.007635858998883539
GLD,F,S,0.02108921229101925
GLD,G,A,0.006101032638212076
GLD,G,B,0.011111002655993097
GLD,G,C,0.027247644945057395
GLD,G,D,0.003527364912620059
GLD,G,E,0.03388252698771696
GLD,G,F,0.012941113582763572
GLD,G,G,0.016200233608356335
GLD,G,H,0.00865988408859262
GLD,G,I,0.01607889266663195
GLD,G,J,0.004474893797474947
GLD,G,K,0.004462284154062479
GLD,G,L,0.003445468816260332
GLD,G,M,0.007630232194802586
GLD,G,N,0.0040580955711129124
GLD,G,O,0.005066176634700513
GLD,G,P,0.005108456027318786
GLD,G,Q,0.015393868896609701
GLD,G,R,0.0028723241055552662
GLD,G,S,0.007511643219033874
GLD,H,A,0.0032150590241931862
GLD,H,B,0.018426472462857398
GLD,H,C,0.027171733919834823
GLD,H,D,0.003493412630728489
GLD,H,E,0.0358247336056376
GLD,H,F,0.008916715292427846
GLD,H,G,0.007711897302392389
GLD,H,H,0.0024687768750841603
GLD,H,I,0.00923298262938193
GLD,H,J,0.007709197899367118
GLD,H,K,0.008394944117779074
GLD,H,L,0.0026251591184523544
GLD,H,M,0.02772123165312627
GLD,H,N,0.013019589748193368
GLD,H,O,0.009498601373490732
GLD,H,P,0.007170403519008933
GLD,H,Q,0.0033137492706135823
GLD,H,R,0.003709040800754073
GLD,H,S,0.002417099510750034
GLD,I,A,0.015494768221249755
GLD,I,B,0.031605839343085265
GLD,I,C,0.08563756265365197
GLD,I,D,0.007706914963714277
GLD,I,E,0.05253430170999595
GLD,I,F,0.06099730208716753
GLD,I,G,0.017768179442785796
GLD,I,H,0.008002482516052513
GLD,I,I,0.12765696472309698
GLD,I,J,0.010667876342253668
GLD,I,K,0.016306849981141423
GLD,I,L,0.006471487646494803
GLD,I,M,0.02908549207258054
GLD,I,N,0.013358156221740533
GLD,I,O,0.018628190621606026
GLD,I,P,0.014901077892746944
GLD,I,Q,0.012970099836861931
GLD,I,R,0.005911841369814459
GLD,I,S,0.0063131578349442646
GLD,J,A,0.0017721344836726493
GLD,J,B,0.005885055279561526
GLD,J,C,0.039731569631726096
GLD,J,D,0.009032462313276502
GLD,J,E,0.03176818582141239
GLD,J,F,0.03175910253011945
GLD,J,G,0.04690716453899496
GLD,J,H,0.015204522406819949
GLD,J,I,0.02520953048712709
GLD,J,J,0.19617311096100076
GLD,J,K,0.04269465160622824
GLD,J,L,0.013929481577754787
GLD,J,M,0.06320971945515642
GLD,J,N,0.021486928713734813
GLD,J,O,0.025189090302776374
GLD,J,P,0.03643179622234954
GLD,J,Q,0.01735762242306607
GLD,J,R,0.015000973057092287
GLD,J,S,0.015408666022522251
GLD,K,A,0.02034099640441679
GLD,K,B,0.04130229772029515
GLD,K,C,0.01895923967301961
GLD,K,D,0.045867133066604615
GLD,K,E,0.03398134612930589
GLD,K,F,0.014320512839760095
GLD,K,G,0.012641926827254372
GLD,K,H,0.012092616668793492
GLD,K,I,0.02907209106809089
GLD,K,J,0.008040009683303434
GLD,K,K,0.1182319139912475
GLD,K,L,0.16777001140978387
GLD,K,M,0.03424230928020778
GLD,K,N,0.00995685600402345
GLD,K,O,0.024686667817653638
GLD,K,P,0.012573592730766634
GLD,K,Q,0.01559546235897282
GLD,K,R,0.0022520447533760195
GLD,K,S,0.0035818757084199702
GLD,L,A,0.00374264630049461
GLD,L,B,0.01647668437417044
GLD,L,C,0.013244805985360032
GLD,L,D,0.0028557539216374304
GLD,L,E,0.031912264556819114
GLD,L,F,0.029588537925689506
GLD,L,G,0.02712480281204517
GLD,L,H,0.018885526632960368
GLD,L,I,0.017186209200782343
GLD,L,J,0.013215485776531505
GLD,L,K,0.010436727152895802
GLD,L,L,0.031097999286004156
GLD,L,M,0.03069014197532748
GLD,L,N,0.017183607692847533
GLD,L,O,0.007745550798973555
GLD,L,P,0.009372274687016567
GLD,L,Q,0.00850822041112735
GLD,L,R,0.004871774889925641
GLD,L,S,0.006493808984752833
GLD,M,A,0.01140724250756317
GLD,M,B,0.0436050036636946
GLD,M,C,0.05833982363482033
GLD,M,D,0.021625061122033672
GLD,M,E,0.08335572443212734
GLD,M,F,0.031960320736511436
GLD,M,G,0.033372533172759525
GLD,M,H,0.005176357924825339
GLD,M,I,0.035955229651985283
GLD,M,J,0.03846506540238974
GLD,M,K,0.09660474720507259
GLD,M,L,0.033819092927255705
GLD,M,M,0.1770580677457033
GLD,M,N,0.03265975993731818
GLD,M,O,0.04309869158946306
GLD,M,P,0.017531868701891336
GLD,M,Q,0.02111380741299632
GLD,M,R,0.014601226430835976
GLD,M,S,0.012461506177496934
GLD,N,A,0.013376926388677116
GLD,N,B,0.015592696271447921
GLD,N,C,0.05504842902117659
GLD,N,D,0.011304993228152945
GLD,N,E,0.057786160317873196
GLD,N,F,0.032475226699913
GLD,N,G,0.023116750230960346
GLD,N,H,0.044844791059368026
GLD,N,I,0.08560390435102386
GLD,N,J,0.014650244414347346
GLD,N,K,0.0958314635262039
GLD,N,L,0.055819910127274844
GLD,N,M,0.1290721062686674
GLD,N,N,0.05137132414275592
GLD,N,O,0.038344459194015655
GLD,N,P,0.04261915939403181
GLD,N,Q,0.06715266523755281
GLD,N,R,0.027007886735252173
GLD,N,S,0.01929954794557408
GLD,O,A,0.0007450019738494849
GLD,O,B,0.012394239350184825
GLD,O,C,0.013790100845764602
GLD,O,D,0.0018594541408969649
GLD,O,E,0.019070758317083967
GLD,O,F,0.0032679046092376155
GLD,O,G,0.0038476780352421852
GLD,O,H,0.000538836983957987
GLD,O,I,0.01871745899776297
GLD,O,J,0.007903528405488497
GLD,O,K,0.006409618030217841
GLD,O,L,0.004058436711207876
GLD,O,M,0.02316779694472025
GLD,O,N,0.005731872884093166
GLD,O,O,0.02139595958991782
GLD,O,P,0.01079109255559676
GLD,O,Q,0.006338466737645497
GLD,O,R,0.0020981900398358714
GLD,O,S,0.004630796238919527
GLD,P,A,6.507543445961429e-5
GLD,P,B,0.0010926324815387005
GLD,P,C,0.0018703384756399552
GLD,P,D,0.0009323521802443766
GLD,P,E,0.0008844326338120829
GLD,P,F,0.0003359660859087986
GLD,P,G,0.00027333441748039294
GLD,P,H,0.000131429669655463
GLD,P,I,0.0009462896298869777
GLD,P,J,0.0002302092650222127
GLD,P,K,0.00551260099199456
GLD,P,L,0.0005587871351167553
GLD,P,M,0.0031906329694048772
GLD,P,N,0.0014302137001692748
GLD,P,O,0.0014366771878210863
GLD,P,P,0.007906046583827975
GLD,P,Q,0.0015053288291950948
GLD,P,R,0.0020136439907453263
GLD,P,S,0.0010993739050730693
GLD,Q,A,3.8856177826464005e-5
GLD,Q,B,8.876362326999053e-5
GLD,Q,C,0.001883335108352225
GLD,Q,D,3.462858997570759e-5
GLD,Q,E,6.57213423200004e-5
GLD,Q,F,7.424498303589089e-5
GLD,Q,G,9.180093416708506e-5
GLD,Q,H,8.71508918202058e-5
GLD,Q,I,0.0002359096464669517
GLD,Q,J,8.774983390894659e-5
GLD,Q,K,0.012313603237634455
GLD,Q,L,8.85658354506773e-5
GLD,Q,M,0.0002207474350977021
GLD,Q,N,0.00029667767178379257
GLD,Q,O,0.0013473869186179195
GLD,Q,P,0.0010635076401884563
GLD,Q,Q,0.012008904001906876
GLD,Q,R,8.130397959235423e-5
GLD,Q,S,0.00014511844447487334
GLD,R,A,0.0007374957729332461
GLD,R,B,0.007146851680681742
GLD,R,C,0.003014279595103366
GLD,R,D,0.0013537412358815971
GLD,R,E,0.011729463218883152
GLD,R,F,0.007556976350970534
GLD,R,G,0.0069003742363099385
GLD,R,H,0.0022333927001375207
GLD,R,I,0.002065090064702302
GLD,R,J,0.016260477489460516
GLD,R,K,0.006418206821922132
GLD,R,L,0.004111003900173592
GLD,R,M,0.021773895890163895
GLD,R,N,0.010454365714543366
GLD,R,O,0.009213903104357823
GLD,R,P,0.037176966431453885
GLD,R,Q,0.016594785490452468
GLD,R,R,0.08332152309669276
GLD,R,S,0.004585549067790879
GLD,S,A,0.011126688553947172
GLD,S,B,0.0641776749738845
GLD,S,C,0.036175345470825244
GLD,S,D,0.01462000596925832
GLD,S,E,0.04516704223250261
GLD,S,F,0.017649037457095958
GLD,S,G,0.014347639158334577
GLD,S,H,0.0021862274287419788
GLD,S,I,0.07803831816146843
GLD,S,J,0.022379443366661693
GLD,S,K,0.011113539770183553
GLD,S,L,0.007360638710640203
GLD,S,M,0.0258827861513207
GLD,S,N,0.015743827786897476
GLD,S,O,0.011498227130279062
GLD,S,P,0.00964721086405014
GLD,S,Q,0.02872092075809581
GLD,S,R,0.004322965229070289
GLD,S,S,0.010075467840620803
