Sectors,A,EPS_OUT
A,91.12201106973674,0.9489496482560956
B,78.78738442008068,0.6561006009730345
C,71.33642811831066,0.6561006009730345
D,70.32940995961091,0.8519411198156951
E,120.94910094535248,0.6561006009730345
F,89.37157134268732,0.9575158423525435
G,70.48954356656544,0.9489496482560956
H,58.927008073118984,0.9376471481899726
I,58.97785651288326,0.7716079768638424
J,78.34595909572563,0.9690578418055305
K,57.661930875706084,0.9690578418055305
L,50.248730674781726,0.9575072247099626
M,98.21191864051197,0.9209453066235969
N,73.23010825166553,0.9517964972008638
O,83.46204107989742,0.9575158423525435
P,63.79901860505113,0.9320464808863269
Q,58.90309523346214,0.9517964972008638
R,71.60277049894358,0.9575158423525435
S,65.60591723614765,0.9489496482560956
