index0,index1,index2,RAW_MED_FLW
GLD,A,A,16659.022200000003
GLD,A,B,284.02509999999995
GLD,A,C,41623.326799999995
GLD,A,D,32.8056
GLD,A,E,825.2541
GLD,A,F,598.9105
GLD,A,G,2973.4630999999995
GLD,A,H,2021.5004999999999
GLD,A,I,101.4563
GLD,A,J,38.345299999999995
GLD,A,K,8.9298
GLD,A,L,1102.7825
GLD,A,M,90.62830000000001
GLD,A,N,42.8067
GLD,A,O,132.1593
GLD,A,P,155.6289
GLD,A,Q,374.591
GLD,A,R,395.231
GLD,A,S,269.8024
GLD,B,A,327.80800000000005
GLD,B,B,18896.2171
GLD,B,C,55445.201100000006
GLD,B,D,4527.1949
GLD,B,E,5050.803
GLD,B,F,3486.9228
GLD,B,G,336.4341
GLD,B,H,705.2457999999999
GLD,B,I,1197.2188
GLD,B,J,257.83349999999996
GLD,B,K,250.0267
GLD,B,L,665.094
GLD,B,M,1305.8511999999998
GLD,B,N,539.0367
GLD,B,O,586.0258
GLD,B,P,279.0627
GLD,B,Q,441.3211
GLD,B,R,95.9532
GLD,B,S,222.3278
GLD,C,A,11539.424700000001
GLD,C,B,23330.7679
GLD,C,C,81699.64559999999
GLD,C,D,5403.1943
GLD,C,E,89578.51439999999
GLD,C,F,7487.8562999999995
GLD,C,G,6105.2447999999995
GLD,C,H,16388.434800000006
GLD,C,I,23722.209999999995
GLD,C,J,6291.6366
GLD,C,K,1814.9540000000002
GLD,C,L,2274.0104
GLD,C,M,6169.7228000000005
GLD,C,N,2144.2215
GLD,C,O,6806.3205
GLD,C,P,6814.4030999999995
GLD,C,Q,14289.783399999997
GLD,C,R,5691.8760999999995
GLD,C,S,12208.252199999999
GLD,D,A,2424.3495000000003
GLD,D,B,5640.3156
GLD,D,C,10313.2254
GLD,D,D,30735.8145
GLD,D,E,4187.477199999999
GLD,D,F,1573.9198999999999
GLD,D,G,2155.6650999999997
GLD,D,H,2507.9832
GLD,D,I,2112.5182999999997
GLD,D,J,2394.9311000000002
GLD,D,K,881.3508999999999
GLD,D,L,3887.7417
GLD,D,M,4251.594999999999
GLD,D,N,1679.5895
GLD,D,O,4290.8688999999995
GLD,D,P,1258.8103999999998
GLD,D,Q,2726.2659
GLD,D,R,642.0426
GLD,D,S,508.4226
GLD,E,A,3233.8708
GLD,E,B,12855.5696
GLD,E,C,3238.9161999999997
GLD,E,D,4670.4409
GLD,E,E,144397.7286
GLD,E,F,3450.813
GLD,E,G,1578.5634
GLD,E,H,1714.8959
GLD,E,I,6654.621499999999
GLD,E,J,1776.2944
GLD,E,K,1523.732
GLD,E,L,18893.5798
GLD,E,M,6329.6854
GLD,E,N,1428.943
GLD,E,O,11915.0072
GLD,E,P,1007.5512
GLD,E,Q,1533.5784
GLD,E,R,373.27330000000006
GLD,E,S,943.3176
GLD,F,A,3548.3590999999997
GLD,F,B,4454.045400000001
GLD,F,C,11254.190300000002
GLD,F,D,999.0980999999999
GLD,F,E,11562.070200000002
GLD,F,F,3782.1703
GLD,F,G,2904.5151
GLD,F,H,2587.0817
GLD,F,I,3509.6432999999997
GLD,F,J,2218.6353
GLD,F,K,1997.5826000000002
GLD,F,L,1068.9123
GLD,F,M,3105.7163
GLD,F,N,1291.1167
GLD,F,O,1933.8316
GLD,F,P,2131.5562999999997
GLD,F,Q,4487.3251
GLD,F,R,1073.7774
GLD,F,S,2965.6283000000003
GLD,G,A,820.0580999999999
GLD,G,B,1493.4632000000001
GLD,G,C,3662.4376999999995
GLD,G,D,474.1237
GLD,G,E,4554.2521
GLD,G,F,1739.4539
GLD,G,G,2177.522
GLD,G,H,1164.001
GLD,G,I,2161.2122
GLD,G,J,601.4839000000001
GLD,G,K,599.789
GLD,G,L,463.11580000000004
GLD,G,M,1025.6024
GLD,G,N,545.4608
GLD,G,O,680.96
GLD,G,P,686.6428999999999
GLD,G,Q,2069.1360999999997
GLD,G,R,386.0777
GLD,G,S,1009.6625
GLD,H,A,358.14149999999995
GLD,H,B,2052.6168999999995
GLD,H,C,3026.7952999999998
GLD,H,D,389.1487
GLD,H,E,3990.6962000000003
GLD,H,F,993.2774999999999
GLD,H,G,859.0668000000001
GLD,H,H,275.0094
GLD,H,I,1028.5081
GLD,H,J,858.7661
GLD,H,K,935.1548
GLD,H,L,292.4296
GLD,H,M,3088.0066000000006
GLD,H,N,1450.3172000000002
GLD,H,O,1058.0967
GLD,H,P,798.7471
GLD,H,Q,369.13509999999997
GLD,H,R,413.16859999999997
GLD,H,S,269.25280000000004
GLD,I,A,3409.7632
GLD,I,B,6955.1494
GLD,I,C,18845.3164
GLD,I,D,1695.976
GLD,I,E,11560.6459
GLD,I,F,13423.0053
GLD,I,G,3910.0478
GLD,I,H,1761.0183000000002
GLD,I,I,28092.064000000002
GLD,I,J,2347.5622
GLD,I,K,3588.4691000000003
GLD,I,L,1424.1091
GLD,I,M,6400.524300000001
GLD,I,N,2939.5825
GLD,I,O,4099.301
GLD,I,P,3279.1163
GLD,I,Q,2854.1872
GLD,I,R,1300.9539
GLD,I,S,1389.2672
GLD,J,A,207.2529
GLD,J,B,688.2631
GLD,J,C,4646.646799999999
GLD,J,D,1056.3555000000001
GLD,J,E,3715.3211
GLD,J,F,3714.2588
GLD,J,G,5485.8398
GLD,J,H,1778.1841
GLD,J,I,2948.2798000000003
GLD,J,J,22942.6415
GLD,J,K,4993.182199999999
GLD,J,L,1629.0668
GLD,J,M,7392.439899999999
GLD,J,N,2512.9178
GLD,J,O,2945.8893
GLD,J,P,4260.735000000001
GLD,J,Q,2029.9913000000001
GLD,J,R,1754.3788
GLD,J,S,1802.0588999999998
GLD,K,A,5419.6144
GLD,K,B,11004.5016
GLD,K,C,5051.461899999999
GLD,K,D,12220.7472
GLD,K,E,9053.921900000001
GLD,K,F,3815.5288
GLD,K,G,3368.2897000000003
GLD,K,H,3221.9326
GLD,K,I,7745.909799999999
GLD,K,J,2142.1641
GLD,K,K,31501.4747
GLD,K,L,44700.3063
GLD,K,M,9123.4524
GLD,K,N,2652.8848
GLD,K,O,6577.4664
GLD,K,P,3350.0829000000003
GLD,K,Q,4155.2238
GLD,K,R,600.0302999999999
GLD,K,S,954.3478
GLD,L,A,1226.5887
GLD,L,B,5399.953200000001
GLD,L,C,4340.759999999999
GLD,L,D,935.9248
GLD,L,E,10458.7022
GLD,L,F,9697.1403
GLD,L,G,8889.693
GLD,L,H,6189.4103000000005
GLD,L,I,5632.4879
GLD,L,J,4331.150799999999
GLD,L,K,3420.4599
GLD,L,L,10191.8406
GLD,L,M,10058.1723
GLD,L,N,5631.6353
GLD,L,O,2538.4726
GLD,L,P,3071.6037000000006
GLD,L,Q,2788.4246
GLD,L,R,1596.6414
GLD,L,S,2128.2355000000002
GLD,M,A,3144.7257999999997
GLD,M,B,12020.940200000001
GLD,M,C,16083.005899999998
GLD,M,D,5961.553599999999
GLD,M,E,22979.3394
GLD,M,F,8810.7573
GLD,M,G,9200.0732
GLD,M,H,1427.0079999999998
GLD,M,I,9912.0658
GLD,M,J,10603.9723
GLD,M,K,26631.8035
GLD,M,L,9323.1799
GLD,M,M,48811.013999999996
GLD,M,N,9003.5773
GLD,M,O,11881.361099999998
GLD,M,P,4833.1505
GLD,M,Q,5820.6122
GLD,M,R,4025.2369000000003
GLD,M,S,3435.3631
GLD,N,A,1491.4069000000002
GLD,N,B,1738.4453
GLD,N,C,6137.404399999999
GLD,N,D,1260.405
GLD,N,E,6442.6368
GLD,N,F,3620.6955000000003
GLD,N,G,2577.3096
GLD,N,H,4999.7906
GLD,N,I,9544.064900000001
GLD,N,J,1633.3704
GLD,N,K,10684.3457
GLD,N,L,6223.4176
GLD,N,M,14390.3782
GLD,N,N,5727.4403
GLD,N,O,4275.062099999999
GLD,N,P,4751.652700000001
GLD,N,Q,7486.9178
GLD,N,R,3011.1363
GLD,N,S,2151.7259
GLD,O,A,124.55389999999998
GLD,O,B,2072.1433
GLD,O,C,2305.5118000000007
GLD,O,D,310.87469999999996
GLD,O,E,3188.3638
GLD,O,F,546.3479
GLD,O,G,643.2778999999999
GLD,O,H,90.08600000000001
GLD,O,I,3129.2971
GLD,O,J,1321.3592999999998
GLD,O,K,1071.5983999999999
GLD,O,L,678.5138
GLD,O,M,3873.3313
GLD,O,N,958.2889
GLD,O,O,3577.1049000000003
GLD,O,P,1804.1196
GLD,O,Q,1059.7029
GLD,O,R,350.788
GLD,O,S,774.2043
GLD,P,A,8.8036
GLD,P,B,147.8146
GLD,P,C,253.02500000000003
GLD,P,D,126.1314
GLD,P,E,119.6487
GLD,P,F,45.4505
GLD,P,G,36.9775
GLD,P,H,17.780199999999997
GLD,P,I,128.0169
GLD,P,J,31.1434
GLD,P,K,745.7612
GLD,P,L,75.59440000000001
GLD,P,M,431.6384
GLD,P,N,193.4836
GLD,P,O,194.358
GLD,P,P,1069.5537
GLD,P,Q,203.6454
GLD,P,R,272.41179999999997
GLD,P,S,148.72660000000002
GLD,Q,A,7.6617
GLD,Q,B,17.5025
GLD,Q,C,371.3579000000001
GLD,Q,D,6.828099999999999
GLD,Q,E,12.959
GLD,Q,F,14.639700000000001
GLD,Q,G,18.101399999999998
GLD,Q,H,17.1845
GLD,Q,I,46.5169
GLD,Q,J,17.302599999999998
GLD,Q,K,2428.0085999999997
GLD,Q,L,17.4635
GLD,Q,M,43.5272
GLD,Q,N,58.4992
GLD,Q,O,265.6791
GLD,Q,P,209.7035
GLD,Q,Q,2367.9276999999997
GLD,Q,R,16.0316
GLD,Q,S,28.6146
GLD,R,A,32.7131
GLD,R,B,317.0129
GLD,R,C,133.7044
GLD,R,D,60.0479
GLD,R,E,520.2837999999999
GLD,R,F,335.2048
GLD,R,G,306.07989999999995
GLD,R,H,99.06660000000001
GLD,R,I,91.6012
GLD,R,J,721.2660000000001
GLD,R,K,284.6924
GLD,R,L,182.35180000000003
GLD,R,M,965.8246999999999
GLD,R,N,463.7243
GLD,R,O,408.7011
GLD,R,P,1649.0587
GLD,R,Q,736.0949
GLD,R,R,3695.8928000000005
GLD,R,S,203.40120000000002
GLD,S,A,745.5994
GLD,S,B,4300.546
GLD,S,C,2424.1098999999995
GLD,S,D,979.6866
GLD,S,E,3026.6435
GLD,S,F,1182.662
GLD,S,G,961.4353
GLD,S,H,146.4991
GLD,S,I,5229.347699999999
GLD,S,J,1499.6465
GLD,S,K,744.7182999999999
GLD,S,L,493.2364
GLD,S,M,1734.4055
GLD,S,N,1054.9939
GLD,S,O,770.4961999999999
GLD,S,P,646.4595999999999
GLD,S,Q,1924.5889
GLD,S,R,289.68190000000004
GLD,S,S,675.1571
