ANZcode,ANZdiv,GLD,AUS
A,"Agriculture, Forestry & Fishing",172.49178985381303,101512.46866153873
B,Mining,2359.928854127527,324703.74061325047
C,Manufacturing,5790.628552172614,673176.8583414248
D,"Electricity, Gas, Water & Waste Services",792.0833837069825,131254.24065241104
E,Construction,1748.321495892802,503474.9199418557
F,Wholesale Trade,204.69960647867703,136615.86617142
G,Retail Trade,298.7283771060451,133363.156034618
H,Accommodation & Food Services,294.957451801286,116107.6118934492
I,"Transport, Postal & Warehousing",990.9768381323945,214527.98564912926
J,Information Media & Telecommunications,56.9357242356318,135287.11783820816
K,Financial & Insurance Services,179.71342210674788,304787.33393421257
L,"Rental, Hiring & Real Estate Services",928.1349244495292,380314.69895088306
M,"Professional, Scientific & Technical Services",510.5095154992244,259349.88528911257
N,Administrative & Support Services,186.2020264542707,97386.45632990671
O,Public Administration & Safety,284.1273566957483,218298.03002602863
P,Education & Training,284.4352681577838,145523.25111787647
Q,Health Care & Social Assistance,268.97696728180506,194485.7272616591
R,Arts & Recreation Services,28.389298546865263,42995.849936520266
S,Other Services,161.46507803224108,69531.8776874428
